id,url,skills,skill_1,skill_2,skill_3
vashishtmahana,https://www.linkedin.com/in/vashishtmahana,1: REST API development 2: Java EE application deployment 3: Exception handling techniques,rest api development,java ee application deployment,exception handling techniques
babu-duraisamy,https://www.linkedin.com/in/babu-duraisamy,1: Database migration 2: Cross-platform app development 3: IDE usage,database migration,cross-platform app development,ide usage
huan-hu-17aa0a80,https://www.linkedin.com/in/huan-hu,1: Signal processing 2: 3D modeling 3: Data science,signal processing,3d modeling,data science
joel-credo-1b19bb3b,https://www.linkedin.com/in/joel-credo-1b19bb3b,1: GANs and Diffusion Models 2: Additive Manufacturing 3: Self-Belief and Entrepreneurship,gans and diffusion models,additive manufacturing,self-belief and entrepreneurship
jongeun-kim-93b16bab,https://www.linkedin.com/in/jongeunkim,1: Statistical modeling   2: Data engineering   3: E-commerce  ,statistical modeling,data engineering,e-commerce
adam-berger-11a4b690,https://www.linkedin.com/in/adam-berger-11a4b690,1: Video editing 2: Troubleshooting 3: Device management,video editing,troubleshooting,device management
shubham-kapadiya-901a423b,https://www.linkedin.com/in/shubhamkapadiya,1: Building Information Modeling (BIM) 2: Construction Estimating 3: Finite Element Analysis (FEA),building information modeling (bim),construction estimating,finite element analysis (fea)
pavan-kumar-manne-a33391194,https://www.linkedin.com/in/pavan-kumar-manne-a33391194,1: Network configuration 2: Routing protocols 3: Network troubleshooting,network configuration,routing protocols,network troubleshooting
prashant-kumar-singh-07113b24,https://www.linkedin.com/in/prashant-kumar-singh-07113b24,1: Composite design 2: Manufacturing processes 3: Materials selection,composite design,manufacturing processes,materials selection
ankithavejandla,https://www.linkedin.com/in/ankithavejandla,1: Data analysis  2: Data visualization  3: Data storytelling,data analysis,data visualization,data storytelling
kulkarnisudhanshu,https://www.linkedin.com/in/kulkarnisudhanshu,1: Data Warehousing 2: Data Visualization 3: Data Analysis,data warehousing,data visualization,data analysis
muzhouli,https://www.linkedin.com/in/muzhouli,1: Self-belief 2: Microsoft Office 3: Text analysis,self-belief,microsoft office,text analysis
anoop-kakkireni-366b2a130,https://www.linkedin.com/in/anoop-kakkireni,1: Image recognition 2: AI implementation 3: Vision processing,image recognition,ai implementation,vision processing
1subinabraham1,https://www.linkedin.com/in/1subinabraham1,1: Data science job seeking 2: Networking 3: Influence and persuasion,data science job seeking,networking,influence and persuasion
ryan-harkins-99617850,https://www.linkedin.com/in/ryan-harkins-99617850,1: Active Directory Management 2: Server Configuration 3: Federation Services,active directory management,server configuration,federation services
dnissley,https://www.linkedin.com/in/dnissley,1: React Native development 2: Data science with Scala 3: Vanilla JavaScript development,react native development,data science with scala,vanilla javascript development
brian-hu-a42538163,https://www.linkedin.com/in/b-j-hu,1: Data Structures 2: Career Skills 3: Mistake Avoidance,data structures,career skills,mistake avoidance
david-east-4ba6492b,https://www.linkedin.com/in/eastdavid,1: Web development 2: Cross-platform development 3: IDE usage,web development,cross-platform development,ide usage
andrew-byrd-281ab66b,https://www.linkedin.com/in/adbyrd,1: Deep Learning Optimization 2: Recommender System Building 3: AWS DeepLens Development,deep learning optimization,recommender system building,aws deeplens development
john-sirmon-00a1199,https://www.linkedin.com/in/johnsirmon,1: Data warehousing 2: Node.js scaling 3: Database migration,data warehousing,node.js scaling,database migration
ralphdire,https://www.linkedin.com/in/ralphdire,1: Network troubleshooting  2: Big data architecture  3: Data analysis,network troubleshooting,big data architecture,data analysis
praneeth-sai-kotha-831ab0140,https://www.linkedin.com/in/praneethsaikotha,1: Full-stack development 2: Angular development 3: Java arrays,full-stack development,angular development,java arrays
keith-wyss-76b10327,https://www.linkedin.com/in/keith-wyss-76b10327,1: Data analysis 2: Data manipulation 3: Data visualization,data analysis,data manipulation,data visualization
chandraprasad,https://www.linkedin.com/in/chandraprasad,1: Cloud infrastructure management 2: SignalR integration 3: Azure Virtual Desktop configuration,cloud infrastructure management,signalr integration,azure virtual desktop configuration
yilun-guo-08025b3a,https://www.linkedin.com/in/yilun-guo-08025b3a,1: AI fundamentals 2: Machine learning algorithms 3: Data analysis techniques,ai fundamentals,machine learning algorithms,data analysis techniques
camille-boucher-veronneau-541a8640,https://www.linkedin.com/in/camille-boucher-veronneau-541a8640,1: Cybersecurity fundamentals 2: Data analysis and visualization 3: Modular synthesis techniques,cybersecurity fundamentals,data analysis and visualization,modular synthesis techniques
chaoyang-fan-46346a52,https://www.linkedin.com/in/chaoyang-fan-46346a52,1: Data Structures   2: VBA   3: Visual Basic  ,data structures,vba,visual basic
denis-berger-0a183088,https://www.linkedin.com/in/denis-berger-0a183088,1: Multithreading 2: Creational Design Patterns 3: Asynchronous Programming,multithreading,creational design patterns,asynchronous programming
ditzjose,https://www.linkedin.com/in/ditzjose,1: HTTP request handling 2: Cloud-native application development 3: GitHub usage,http request handling,cloud-native application development,github usage
mercy-n-asiedu,https://www.linkedin.com/in/mercy-n-asiedu,1: Data Analysis  2: Machine Learning  3: Data Visualization,data analysis,machine learning,data visualization
meghanamak,https://www.linkedin.com/in/meghanamak,1: Data Analytics 2: SQL Proficiency 3: Big Data Engineering,data analytics,sql proficiency,big data engineering
abhishek-shah-159b8855,https://www.linkedin.com/in/abhishek-shah-159b8855,1: Algorithm design 2: AI implementation 3: gRPC development,algorithm design,ai implementation,grpc development
derrowap,https://www.linkedin.com/in/derrowap,1: Machine learning   2: Image recognition   3: Assembly language  ,machine learning,image recognition,assembly language
tion-carter,https://www.linkedin.com/in/tion-carter,1: Data management 2: Cloud computing 3: Market research,data management,cloud computing,market research
kevin-parsons-85344451,https://www.linkedin.com/in/kevpar,1: Java programming   2: Network automation   3: Infrastructure as code  ,java programming,network automation,infrastructure as code
sam-o-883641130,https://www.linkedin.com/in/sam-o-883641130,1: PCB design 2: Model creation 3: Reactive programming,pcb design,model creation,reactive programming
steveckruse,https://www.linkedin.com/in/steveckruse,1: Building Information Modeling 2: Heat Stress Prevention 3: Revit MEP Certification,building information modeling,heat stress prevention,revit mep certification
phani-daggubati-7a9803102,https://www.linkedin.com/in/phani-daggubati-7a9803102,1: JavaScript Programming 2: Data Analysis Techniques 3: Web Design Principles,javascript programming,data analysis techniques,web design principles
ezekieljhadley,https://www.linkedin.com/in/ezekieljhadley,1: AR Development 2: Lighting Techniques 3: Physics Concepts 4: Statistical Analysis 5: Data Manipulation 6: Machine Learning,ar development,lighting techniques,physics concepts
eric-clinger-36259611a,https://www.linkedin.com/in/clingeric,1: Cloud Security Management 2: Data Protection Analysis 3: Security Program Development,cloud security management,data protection analysis,security program development
shule-li-99185278,https://www.linkedin.com/in/shule-li-99185278,1: Data Wrangling 2: Code Optimization 3: Machine Learning Concepts,data wrangling,code optimization,machine learning concepts
anup-talwalkar-2a742512,https://www.linkedin.com/in/anup-talwalkar-2a742512,1: Cloud architecture 2: Concurrency programming 3: SignalR implementation,cloud architecture,concurrency programming,signalr implementation
vignesh-kashyap,https://www.linkedin.com/in/vignesh-kashyap,1: Object-oriented programming 2: Windows 10 implementation 3: C code debugging,object-oriented programming,windows 10 implementation,c code debugging
georgina-l-halpern-80634487,https://www.linkedin.com/in/georgina-l-halpern-80634487,1: Programming fundamentals  2: Dependency injection  3: Programming fundamentals ,programming fundamentals,dependency injection,programming fundamentals
preethika-bokka-67388716,https://www.linkedin.com/in/preethika-bokka-67388716,1: SQL querying 2: VMware vSphere 7 DRS management 3: Coaching challenge resolution,sql querying,vmware vsphere 7 drs management,coaching challenge resolution
sandeep-p-singh,https://www.linkedin.com/in/sandeep-p-singh,1: Web development 2: Web service development 3: Concurrency and multithreading,web development,web service development,concurrency and multithreading
robert-smith-65b6025b,https://www.linkedin.com/in/robert-smith-65b6025b,1: Modular synthesis 2: Tkinter development 3: Career planning,modular synthesis,tkinter development,career planning
marion-palaming-095568105,https://www.linkedin.com/in/marion-palaming-095568105,1: CRM management 2: Sales process automation 3: Data analysis,crm management,sales process automation,data analysis
chengkaijiang,https://www.linkedin.com/in/chengkaijiang,1: SPA development 2: Vue.js/Laravel integration 3: Image processing,spa development,vue.js/laravel integration,image processing
ppadmanabhan42,https://www.linkedin.com/in/ppadmanabhan42,1: Asynchronous programming 2: Business AI strategy 3: Parallel programming,asynchronous programming,business ai strategy,parallel programming
kai-song-1a07b663,https://www.linkedin.com/in/kai-song-1a07b663,1: App development 2: iOS development 3: Programming basics,app development,ios development,programming basics
bsteinig,https://www.linkedin.com/in/bsteinig,1: Web Development 2: Machine Learning 3: Image Processing,web development,machine learning,image processing
thomas-stylc-68348760,https://www.linkedin.com/in/thomas-stylc-68348760,1: Product-centric thinking 2: PowerShell scripting 3: Cybersecurity risk management,product-centric thinking,powershell scripting,cybersecurity risk management
akinyemi-alabi-85a36838,https://www.linkedin.com/in/akinyemialabi,1: Data analysis 2: SAP navigation 3: Inventory management,data analysis,sap navigation,inventory management
vivek-rajendran-48959547,https://www.linkedin.com/in/vivek-rajendran-48959547,1: Debugging Code 2: Debugging Ruby 3: Cybersecurity Career,debugging code,debugging ruby,cybersecurity career
jonathan-berkshire-a68237239,https://www.linkedin.com/in/jonathan-berkshire-a68237239,1: Data analysis 2: Machine learning 3: AI concepts,data analysis,machine learning,ai concepts
kevin-tsai-a42434184,https://www.linkedin.com/in/kevintsai159,1: Lambda expressions 2: Stream processing 3: Data analysis,lambda expressions,stream processing,data analysis
